reviewId,userName,content,score,thumbsUpCount,reviewCreatedVersion,at,appVersion
5172107c-9679-4217-b7bb-7f0177e86a31,Yanko Georgiev,"1. Buggy as heck 2. Can't selectively disable notifications. 3. Can't selectively share photos, it requires access to all media on phone. 4.""Decline access to contacts"" conveniently hidden by toast pop-up. Just plain sneaky deceptive 5. Notifications coded as non-notification sounds, so they bling and blang even when notification volume is off. 6. Posts disappear without trace or reason.",1,117,498.1.0.64.74,2025-02-04 02:37:29,498.1.0.64.74
be925cbb-5878-440a-9b17-6f9a608c8866,J S,Just go back to square one. Friends/Family and funny features like slapping someone with a trout or giving a high five instead of just the poke feature. Fun times. As many have said... rarely see friends and family posts. Get a lot of garbage... lots of ads... I constantly click not interested/over played/hide all from... and still they pop up. The whole META AI ask meta feature is dumb. Super annoying because it made a simple search harder. Constantly drags/is slow or glitching.,1,200,498.1.0.64.74,2025-02-02 14:39:33,498.1.0.64.74
0ebf1237-6168-4664-a7c5-8cf7efe5846e,Faten Nasreddeen,"Facebook is no longer as engaging as it once was. The News Feed used to be a place to connect with friends and see their posts, but now it's overwhelmed with ads and marketing. It's lost its charm as a social network. We need a return to a more attractive and friend-focused experience, not just pages and promotions. Bring back the old vibe and help us reconnect with friends!",1,90,497.0.0.47.36,2025-02-02 03:34:20,497.0.0.47.36
e4cfedf4-de04-4dcb-addd-5d7b13fd35e8,Steph Stoya,"I am a Facebook user since 2009. I could easily argue that Facebook has been going downhill at least since it split the messaging feature into a separate app. The desktop interface is abysmal. I miss the old functional Activity Log. Comments disappear. I barely, if ever, see liked Pages' posts on my feed. Just ads, ads, ads. Few-second videos get interrupted by ads. As if Meta isn't profiting enough from personal data. I miss old Facebook, and I will be migrating to a different app.",1,764,498.0.0.54.74,2025-02-01 21:52:32,498.0.0.54.74
5e514f75-7e98-48e6-9d36-22858b26eb25,Dennis Denneboom,"CAN'T open URLs directly into the external browser (the one you do want to use). Also, Pinch Zoom on pictures doesn't work anymore. EDIT: Reinstalled app. Both are still not working. Please FIX both of them. (I know the browser one isn't a bug, but it's broken to me either way)",1,51,497.0.0.47.36,2025-02-01 15:34:36,497.0.0.47.36
1564ab9f-b8dc-4d01-9a2b-9171d0ffba18,Will,"Been on FB since 07. Videos haven't loaded past 5 seconds for the last 6 months or so, I can't see anything about my friends. This is just random content from pages I never subscribed to about content that has nothing to do with me. Just uninstalled. App just doesn't do anything useful any more.",2,61,394.1.0.51.107,2025-02-01 06:00:52,394.1.0.51.107
f871459d-c904-467b-bc4a-be325dac9c7c,Nekoti Mhweewa,"It's gone downhill so much over the years. I have had Facebook since 2009 and I loved it back then. But everything has gotten so bad with it. Ads, not seeing friend's posts while seeing only ads, notifications when I have them all turned off. I'm over it. I hardly ever go on now and have been getting into social media NOT run by meta.",1,56,496.0.0.45.65,2025-01-31 23:26:33,496.0.0.45.65
6762be8c-1a7c-4de7-a256-bc65240e9780,RemainUnknown522,"Used to use this app, until an update a month ago made it too glitchy. Every time I log in, a 'Confirm Your Account' prompt would come up, telling me to input a password reset code sent to my e-mail, when in fact, I DID NOT request it, and this happened after I already saved my login info (e-mail only) and set the app to trust my device when logging in. As far as I know, I have absolutely no problems with my Facebook account, but this glitch is getting on my nerves already.",1,210,498.0.0.54.74,2025-01-31 21:03:13,498.0.0.54.74
f23a50a5-6224-4cae-9b69-73fbf71cdad3,Parker Coyer,"Updated review: this app just seems to be getting buggier and buggier. Occasionally when I click the profile picture of someone I don't know, it freezes the app on their picture. I can't swipe or exit. Sometimes I have to uninstall and reinstall because all my wall shows is ads and groups... Literally 6 out of 7 posts are groups I don't belong to, or ads. Notifications in app don't work unless manually refreshed. So so many bugs. Clearly, META culture isn't attracting the best developers anymore",1,2243,498.0.0.54.74,2025-01-31 08:51:06,498.0.0.54.74
849daaa4-378b-4464-a189-188339f84b45,Kirk Benge,"It overrides my ability to use my preferred browser that I've chosen in the Android settings. I feel like it's a huge security risk as a user that an app can override my chosen default app for opening links. As a user, I should be able to choose how Internet links are opened on my device. Period. Any app that can mimic the look and feel of my default browser and make itself behave as the default browser to open links should be banned in the Play Store.",1,31,497.0.0.47.36,2025-01-31 06:35:45,497.0.0.47.36
